data_leitura,sensor_1_Sensor Fósforo,sensor_2_Sensor Potássio,sensor_3_Sensor PH,sensor_4_Sensor Umidade,sensor_5_Sensor Estado do Relé
2025-05-16 19:14:14.599949,1.0,0.0,5.865680911233618,30.606287868639125,0.0
2025-05-16 19:16:04.647816,0.0,1.0,1.3797636883386624,32.392717424493824,1.0
2025-05-16 19:57:26.599949,0.0,1.0,6.481554779446548,41.20463394625137,0.0
2025-05-16 19:59:16.647816,1.0,1.0,1.422987278008942,18.552089576864038,0.0
2025-05-16 20:40:38.599949,0.0,1.0,10.959800501151243,50.1635954752077,0.0
2025-05-16 20:42:28.647816,0.0,0.0,5.879892087404384,1.797009323517118,1.0
2025-05-16 21:23:50.599949,0.0,0.0,6.902490071801203,91.36884412655051,1.0
2025-05-16 21:25:40.647816,1.0,1.0,5.2337015097360595,9.898064665948691,0.0
2025-05-16 22:07:02.599949,1.0,0.0,13.534886503674862,58.92336488140184,0.0
2025-05-16 22:08:52.647816,0.0,1.0,4.292465434816867,3.404763328310201,0.0
2025-05-16 22:50:14.599949,0.0,0.0,6.495861206887509,50.84032546300074,0.0
2025-05-16 22:52:04.647816,0.0,1.0,4.733010992500719,67.22734608929024,1.0
2025-05-16 23:33:26.599949,1.0,1.0,4.443526842084187,58.83037512344973,1.0
2025-05-16 23:35:16.647816,1.0,1.0,3.685863579469739,86.3019707906415,1.0
2025-05-17 00:16:38.599949,0.0,1.0,2.876051216719167,10.61745521711439,0.0
2025-05-17 00:18:28.647816,1.0,1.0,13.488492222412756,48.21305057302013,1.0
2025-05-17 00:59:50.599949,0.0,1.0,9.081564696057589,84.55517473481588,1.0
2025-05-17 01:01:40.647816,1.0,0.0,5.325827493446588,31.182457401917564,0.0
2025-05-17 01:43:02.599949,1.0,0.0,9.354478053666595,57.359333185343786,0.0
2025-05-17 01:44:52.647816,1.0,0.0,1.7154136235460684,9.353595746760234,0.0
2025-05-17 02:26:14.599949,0.0,1.0,1.307540485092195,42.466667770903236,0.0
2025-05-17 02:28:04.647816,1.0,1.0,9.148278564773118,14.96431913379258,1.0
2025-05-17 03:09:26.599949,0.0,0.0,13.175280671026151,88.56062757357932,0.0
2025-05-17 03:11:16.647816,1.0,1.0,8.21549466187907,96.2554380979775,0.0
2025-05-17 03:52:38.599949,0.0,1.0,13.27035163199208,47.2007247018006,0.0
2025-05-17 03:54:28.647816,1.0,1.0,2.1879038058865166,71.11481126433785,1.0
2025-05-17 04:35:50.599949,0.0,0.0,3.0909730627756105,48.59310051871745,1.0
2025-05-17 04:37:40.647816,1.0,1.0,13.742585060828949,57.38863040649292,1.0
2025-05-17 05:19:02.599949,0.0,0.0,8.450509859870523,7.78949225298069,1.0
2025-05-17 05:20:52.647816,0.0,1.0,1.781048713491847,58.16665315140479,0.0
2025-05-17 06:02:14.599949,1.0,1.0,2.295860036654733,28.099084272653396,1.0
2025-05-17 06:04:04.647816,0.0,0.0,6.6845578150507565,50.300043010303156,1.0
2025-05-17 06:45:26.599949,1.0,0.0,9.193142756633653,58.8033129146873,0.0
2025-05-17 06:47:16.647816,0.0,0.0,8.358065407615333,4.7577687080479265,1.0
2025-05-17 07:28:38.599949,1.0,1.0,11.228913115253889,19.249713716882212,0.0
