hora_leitura,sensor_1_Sensor Fósforo,sensor_2_Sensor Potássio,sensor_3_Sensor PH,sensor_4_Sensor Umidade,sensor_5_Sensor Estado do Relé de Irrigação
12:01:51 AM,1,1,6.735085706,4.960300837,1
12:03:16 AM,0,0,9.114286137,8.306036617,0
12:04:47 AM,1,0,3.579124923,24.65448996,1
12:45:03 AM,0,0,11.52342985,87.84661786,0
12:46:28 AM,0,1,13.56226485,50.46735199,0
12:47:59 AM,1,0,8.16275709,60.65341248,1
12:28:15 AM,1,0,3.604305936,22.54349931,0
12:29:40 AM,1,1,13.13792904,55.44488909,0
12:31:11 AM,0,1,2.176501578,19.56372791,0
12:11:27 AM,1,1,9.102289718,64.59822937,1
12:12:52 AM,1,1,7.209683972,35.32460888,0
12:14:23 AM,0,0,1.604031694,57.46555012,1
12:54:39 AM,0,1,0.213833478,53.56210653,0
12:56:04 AM,1,1,0.913070728,82.15560043,0
12:57:35 AM,0,1,5.091312511,60.57337601,0
12:37:51 AM,1,1,4.179716665,88.61034519,0
12:39:16 AM,0,0,10.41083542,22.74293106,1
12:40:47 AM,1,0,7.631742883,82.06012927,0
12:21:03 AM,0,0,10.34120086,29.78511339,1
12:22:28 AM,0,0,5.156201707,40.56688218,1
12:23:59 AM,0,1,7.251960516,82.06392298,1
12:04:15 AM,0,0,6.582470721,64.01656244,0
12:05:40 AM,0,0,4.8806428,54.50200825,1
12:07:11 AM,1,0,1.291706001,50.6592801,0
12:47:27 AM,1,0,3.696337206,76.46480047,0
12:48:52 AM,0,1,4.601769208,22.09386043,1
12:50:23 AM,0,1,11.49820515,3.710216224,0
12:30:39 AM,0,1,4.023165194,57.4954634,1
12:32:04 AM,1,1,1.247872217,40.46289068,0
12:33:35 AM,1,1,4.396352478,25.5450608,1
12:34:52 AM,0,1,0.606438864,42.0656074,0
12:13:51 AM,1,0,7.134035273,84.08096393,0
12:15:16 AM,1,1,6.379127696,47.84411011,0
12:16:47 AM,1,1,1.026391985,63.96723293,1
12:18:04 AM,0,0,11.98201254,66.95142811,0
12:57:03 AM,1,1,2.290542547,30.35925676,0
12:58:28 AM,1,0,4.336563574,32.55298898,1
12:59:59 AM,0,0,10.04351119,57.77666233,1
12:01:16 AM,0,0,7.671172338,28.44451274,1
12:40:15 AM,0,1,13.29876572,66.25270978,1
12:41:40 AM,1,1,13.09896126,76.58898847,1
12:43:11 AM,1,0,0.738880026,79.68085198,0
12:44:28 AM,1,0,1.052970604,71.32853042,1
12:23:27 AM,1,0,7.027206541,4.74916359,0
12:24:52 AM,0,1,12.55340285,0.934967147,1
12:26:23 AM,1,1,4.596960547,59.71425649,0
12:27:40 AM,1,1,12.44347143,83.75452524,0
12:06:39 AM,1,1,6.83550841,89.99531912,1
12:08:04 AM,0,0,7.474851697,58.90351124,1
12:09:35 AM,1,0,0.906053965,94.36999725,0
12:10:52 AM,0,0,2.692346452,42.88301463,1
12:49:51 AM,1,0,4.076971748,15.66720936,1
12:51:16 AM,1,1,4.134623418,11.90361885,0
12:52:47 AM,0,0,6.114109489,94.82702504,1
12:54:04 AM,1,0,1.551522972,57.68059812,0
12:33:03 AM,0,1,8.227868809,41.98352614,0
12:34:28 AM,0,0,13.31060026,10.8706631,1
12:35:59 AM,0,0,10.9008196,18.10010521,0
12:37:16 AM,1,0,5.242599673,95.52583445,1
12:16:15 AM,0,0,12.49960975,3.047896368,0
12:17:40 AM,1,0,10.34732876,3.747348216,0
12:19:11 AM,1,1,8.066941837,11.19318811,0
12:20:28 AM,1,0,2.378986999,71.30607192,0
12:59:27 AM,0,1,8.351876594,84.73332684,1
12:00:52 AM,1,1,4.284160718,37.34973373,1
12:02:23 AM,1,0,0.943220117,96.59478472,1
12:03:40 AM,1,1,2.050448487,3.04625822,0
12:42:39 AM,1,0,10.58895738,88.85361486,0
12:44:04 AM,1,0,10.70781134,28.62695217,1
